"lodash""	""lodash/lodash""	""https://github.com/lodash/lodash""	""46431""	""5183""	""46431""	""883""	""false""	""A modern JavaScript utility library delivering modularity, performance, & extras."
"date-fns""	""date-fns/date-fns""	""https://github.com/date-fns/date-fns""	""23316""	""1061""	""23316""	""227""	""false""	""⏳ Modern JavaScript date utility library ⌛️"
"ramda""	""ramda/ramda""	""https://github.com/ramda/ramda""	""19426""	""1243""	""19426""	""291""	""false""	"":ram: Practical functional Javascript"
"Fuse""	""krisk/Fuse""	""https://github.com/krisk/Fuse""	""11217""	""603""	""11217""	""139""	""false""	""Lightweight fuzzy-search, in JavaScript"
"yargs""	""yargs/yargs""	""https://github.com/yargs/yargs""	""8054""	""779""	""8054""	""79""	""false""	"" yargs the modern, pirate-themed successor to optimist."
"ky""	""sindresorhus/ky""	""https://github.com/sindresorhus/ky""	""5784""	""205""	""5784""	""48""	""false""	""🌳 Tiny & elegant HTTP client based on window.fetch"
"i18next""	""i18next/i18next""	""https://github.com/i18next/i18next""	""5205""	""511""	""5205""	""84""	""false""	"" i18next: learn once - translate everywhere"
"effector""	""zerobias/effector""	""https://github.com/zerobias/effector""	""2736""	""106""	""2736""	""38""	""false""	""The state manager ☄️"
"oak""	""oakserver/oak""	""https://github.com/oakserver/oak""	""2430""	""131""	""2430""	""35""	""false""	""A middleware framework for Deno's net server 🐿️ 🦕"
"servest""	""keroxp/servest""	""https://github.com/keroxp/servest""	""609""	""33""	""609""	""13""	""false""	""🌾A progressive http server for Deno🌾"
"deno-drash""	""drashland/deno-drash""	""https://github.com/drashland/deno-drash""	""594""	""17""	""594""	""16""	""false""	""A REST microframework for Deno's HTTP server with zero dependencies."
"denon""	""denosaurs/denon""	""https://github.com/denosaurs/denon""	""525""	""28""	""525""	""11""	""false""	""👀 Monitor any changes in your Deno application and automatically restart."
"webview_deno""	""webview/webview_deno""	""https://github.com/webview/webview_deno""	""499""	""35""	""499""	""25""	""false""	""🌐 Deno bindings for webview, a tiny library for creating web-based desktop GUIs"
"financial""	""lmammino/financial""	""https://github.com/lmammino/financial""	""498""	""9""	""498""	""10""	""false""	""A Zero-dependency TypeScript/JavaScript financial library (based on numpy-financial) for Node.js, Deno and the browser"
"abc""	""zhmushan/abc""	""https://github.com/zhmushan/abc""	""447""	""44""	""447""	""21""	""false""	""A better Deno framework to create web application."
"alosaur""	""alosaur/alosaur""	""https://github.com/alosaur/alosaur""	""444""	""32""	""444""	""20""	""false""	""Alosaur - Deno web framework with many decorators"
"deno-lambda""	""hayd/deno-lambda""	""https://github.com/hayd/deno-lambda""	""430""	""16""	""430""	""11""	""false""	""A deno runtime for AWS Lambda. Deploy deno via SAM, serverless, or bundle it yourself."
"light-date""	""xxczaki/light-date""	""https://github.com/xxczaki/light-date""	""421""	""7""	""421""	""6""	""false""	""⏰ Blazing fast & lightweight (157 bytes) date formatting for Node.js and the browser."
"denoify""	""garronej/denoify""	""https://github.com/garronej/denoify""	""388""	""6""	""388""	""9""	""false""	""🦕For NPM module authors that would like to support Deno but do not want to write and maintain a port for it."
"tstl""	""samchon/tstl""	""https://github.com/samchon/tstl""	""357""	""34""	""357""	""16""	""false""	""TypeScript-STL (Standard Template Library, migrated from C++)"
"deno-nessie""	""halvardssm/deno-nessie""	""https://github.com/halvardssm/deno-nessie""	""350""	""17""	""350""	""8""	""false""	""A modular Deno library for PostgreSQL, MySQL, MariaDB and SQLite migrations"
"awesome-phonenumber""	""grantila/awesome-phonenumber""	""https://github.com/grantila/awesome-phonenumber""	""317""	""38""	""317""	""7""	""false""	""Google's libphonenumber pre-compiled with the closure compiler"
"velociraptor""	""umbopepato/velociraptor""	""https://github.com/umbopepato/velociraptor""	""308""	""12""	""308""	""3""	""false""	""An alternative to npm scripts for Deno"
"yargs-parser""	""yargs/yargs-parser""	""https://github.com/yargs/yargs-parser""	""302""	""70""	""302""	""4""	""false""	"":muscle: the mighty option parser used by yargs"
"autopilot-deno""	""divy-work/autopilot-deno""	""https://github.com/divy-work/autopilot-deno""	""294""	""4""	""294""	""5""	""false""	"":rocket: Cross-platform desktop automation library for Deno."
"pogo""	""sholladay/pogo""	""https://github.com/sholladay/pogo""	""278""	""27""	""278""	""14""	""false""	""Server framework for Deno"
"deno-postgres""	""deno-postgres/deno-postgres""	""https://github.com/deno-postgres/deno-postgres""	""277""	""51""	""277""	""8""	""false""	""PostgreSQL driver for Deno"
"Trex""	""crewdevio/Trex""	""https://github.com/crewdevio/Trex""	""253""	""5""	""253""	""3""	""false""	""Package Manager for deno 🦕"
"denodb""	""eveningkid/denodb""	""https://github.com/eveningkid/denodb""	""248""	""22""	""248""	""12""	""false""	""MySQL, SQLite, MariaDB, PostgreSQL and MongoDB ORM for Deno"
"evt""	""garronej/evt""	""https://github.com/garronej/evt""	""245""	""4""	""245""	""5""	""false""	""💧EventEmitter's typesafe replacement"
"deno-redis""	""denolib/deno-redis""	""https://github.com/denolib/deno-redis""	""238""	""23""	""238""	""8""	""false""	""🦕 Redis client for Deno 🍕"
"fastest-levenshtein""	""ka-weihe/fastest-levenshtein""	""https://github.com/ka-weihe/fastest-levenshtein""	""207""	""3""	""207""	""4""	""false""	""The fastest implementation of Levenshtein distance in JavaScript."
"dvm""	""justjavac/dvm""	""https://github.com/justjavac/dvm""	""205""	""12""	""205""	""3""	""false""	""Deno Version Manager - Easy way to manage multiple active deno versions."
"cliui""	""yargs/cliui""	""https://github.com/yargs/cliui""	""201""	""16""	""201""	""6""	""false""	""easily create complex multi-column command-line-interfaces."
